Rank,Country,Population,Date,% of world population
130,Bosnia and Herzegovina,3791622,15-Oct-13,0.053141 
131,Puerto Rico,3615086,1-Jul-13,0.050667 
132,Kuwait,3582054,31-Dec-10,0.050204 
133,Moldov,3559500,1-Jan-13,0.049888 
134,Mauritania,3461041,1-Jul-13,0.048508 
135,Panama,3405813,16-May-10,0.047734 
136,Uruguay,3286314,30-Sep-11,0.046059 
137,Armenia,3024100,1-Jul-12,0.042384 
138,Lithuania,2945951,1-Dec-13,0.041289 
139,Albania,2821977,1-Oct-11,0.039551 
140,Mongolia,2754685,11-Nov-10,0.038608 
141,Jamaica,2711476,31-Dec-12,0.038002 
142,Namibia,2113077,28-Aug-11,0.029616 
143,Lesotho,2074000,1-Jul-13,0.029068 
144,Qatar,2068050,30-Nov-13,0.028985 
145,Macedonia,2062294,31-Dec-12,0.028904 
146,Slovenia,2061171,4-Jan-14,0.028888 
147,Botswana,2024904,22-Aug-11,0.028380 
148,Latvia,2008700,1-Nov-13,0.028153 
149,Gambia,1849000,1-Jul-13,0.025915 
150,Kosovo,1815606,31-Dec-12,0.025446 
151,Guinea-Bissau,1704000,1-Jul-13,0.023882 
152,Gabon,1672000,1-Jul-13,0.023434 
153,Equatorial Guinea,1622000,1-Jul-10,0.022733 
154,Trinidad and Tobago,1328019,9-Jan-11,0.018613 
155,Estonia,1286540,1-Jan-13,0.018031 
156,Mauritius,1257900,3-Jul-11,0.017630 
157,Swaziland,1250000,1-Jul-13,0.017519 
158,Bahrain,1234571,27-Apr-10,0.017303 
159,Timor-Leste,1066409,11-Jul-10,0.014946 
160,Djibouti,873000,1-Jul-13,0.012235 
161,Cyprus,865878,31-Dec-12,0.012136 
162,Fiji,858038,1-Jul-12,0.012026 
163,Reunion (France),821136,1-Jan-10,0.011509 
164,Guyana,784894,1-Jul-10,0.011001 
165,Comoros,743797,1-Jul-13,0.010425 
166,Bhutan,742610,4-Jan-14,0.010408 
167,Montenegro,620029,1-Apr-11,0.008690 
168,Macau (China),598200,30-Sep-13,0.008384 
169,Solomon Islands,581344,1-Jul-13,0.008148 
170,Western Sahara,567000,1-Jul-13,0.007947 
171,Luxembourg,537000,31-Dec-12,0.007526 
172,Suriname,534189,13-Aug-12,0.007487 
173,Cape Verde,491875,16-Jun-10,0.006894 
174,Malta,416055,20-Nov-11,0.005831 
175,Guadeloupe (France),403355,1-Jan-10,0.005653 
176,Martinique (France),394173,1-Jan-10,0.005524 
177,Brunei,393162,20-Jun-11,0.005510 
178,Bahamas,351461,3-May-10,0.004926 
179,Iceland,325010,1-Oct-13,0.004555 
180,Maldives,317280,1-Jul-10,0.004447 
